Vivado Simulator 2016.4
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_5 collision detected at time: 1748010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1773610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1799210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1824810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1850410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1876010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1901610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1927210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1952810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1978410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2004010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2029610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2055210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2080810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2106410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2132010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2157610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2183210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2208810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2234410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2260010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2285610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2311210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2336810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2362410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2388010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2413610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2439210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2464810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2490410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2516010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2541610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2567210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2592810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2618410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2644010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2669610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2695210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2720810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2746410000, A write address: 10, B  read address: 10
